# Catalogo degli aeroporti: da codice IATA/ICAO a nome leggibile.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aeroporti.csv, che vince sempre su questo.
#
# Fonte: OurAirports (pubblico dominio). Scali, non eliporti.
# 18361 voci.
AAA/NTGA,Anaa,Anaa Airport
PBC/MMPB,Puebla,Puebla Hermanos Serdán International Airport
PBD/VAPR,Porbandar,Porbandar Airport
PBE/SKPR,Puerto Berrio,Puerto Berrio Airport
PBF/KPBF,Pine Bluff,"Pine Bluff Regional Airport, Grider Field"
PBG/KPBG,Plattsburgh,Plattsburgh International Airport
PBH/VQPR,Paro,Paro International Airport
PBJ/NVSI,Paama Island,Paama Island Tavie Airport
PBL/SVPC,Puerto Cabello,Puerto Cabello General Bartolome Salom International Airport
PBM/SMJP,Paramaribo,Paramaribo Johan Adolf Pengel International Airport
PBN/FNPA,Port Amboim,Porto Amboim Airport
PBO/YPBO,Paraburdoo,Paraburdoo Airport
PBP/MRIA,Nandayure,Nandayure Islita Airport
PBQ/SWPM,Pimenta Bueno,Pimenta Bueno Airport
PBR/MGPB,Puerto Barrios,Puerto Barrios Airport
PBT,Puerto Leda,Aeródromo de Puerto Leda
PBU/VYPT,Putao,Putao Airport
PBX/SWPQ,Porto Alegre do,Porto Alegre do Norte Fazenda Piraguassu Airport
PBZ/FAPG,Plettenberg Bay,Plettenberg Bay Airport
PCA/PAOC,Portage Creek,Portage Creek Airport
PCB/WIHP,Jakarta,Jakarta Pondok Cabe Air Base
PCC,Puerto Rico,Puerto Rico Airport
PCD/KPDC,Prairie Du Chien,Prairie Du Chien Municipal Airport
PCF/FAPS,Potchefstroom,Potchefstroom Airport
PCG,Paso Caballos,Paso Caballos Airport
PCH/MHPC,Palacios,Palacios Airport
PCJ,Puerto La Victoria,Puerto La Victoria Airport
PCL/SPCL,Pucallpa,Pucallpa Cap FAP David Abenzur Rengifo International Airport
PCM,Playa del Carmen,Playa del Carmen National Airport
PCN/NZPN,Koromiko,Koromiko Picton Aerodrome
PCO/MMPL,La Ribera,La Ribera Punta Colorada Airport
PCP/FPPR,São Tomé & Príncipe,São Tomé & Príncipe Principe Airport
PCQ,Phongsaly,Phongsaly Boun Neau Airport
PCR/SKPC,Puerto Carreño,Puerto Carreño German Olano Airport
PCS/SNPC,Picos,Picos Airport
PCT,Princeton/Rocky,Princeton Airport
PCU,Poplarville,Poplarville Pearl River County Airport
PCV,Mulegé,Mulegé Punta Chivato Airport
PDA/SKPD,Puerto Inírida,Puerto Inírida Obando Cesar Gaviria Trujillo Airport
PDB,Pedro Bay,Pedro Bay Airport
PDC/NWWQ,Népoui,Népoui Mueo Airport
PDD/FQPO,Ponta do Ouro,Ponta do Ouro Airport
PDE/YPDI,Pandie Pandie,Pandie Pandie Airport
PDF/SNRD,Prado,Prado Airport
PDG/WIEE,Padang (Katapiang),Padang (Katapiang) Minangkabau International Airport
PDI/AYPD,Pindiu,Pindiu Airport
PDK/KPDK,Atlanta,Atlanta DeKalb Peachtree Airport
PDL/LPPD,Ponta Delgada,Ponta Delgada João Paulo II Airport
PDM/MPPD,Pedasí,Pedasí Capt. J. Montenegro Airport
PDN/YPDA,Kangaroo Island,Kangaroo Island Parndana Airport
PDO/WIPQ,Talang Gudang-Sumat,Talang Gudang-Sumatra Island Pendopo Airport
PDP/SULS,Punta del Este,Punta del Este Capitan Corbeta CA Curbelo International Airport
PDR,Presidente Dutra,Presidente José Sarney Airport
PDS/MMPG,Piedras Negras,Piedras Negras International Airport
PDT/KPDT,Pendleton,Eastern Oregon Regional Airport at Pendleton
PDU/SUPU,Paysandú,Paysandú Tydeo Larre Borges Airport
PDV/LBPD,Plovdiv,Plovdiv International Airport
PDX/KPDX,Portland,Portland International Airport
PDZ/SVPE,Capure,Capure Pedernales Airport
PEA/YPSH,Ironstone,Ironstone Penneshaw Airport
PEB,Pebane,Pebane Airport
PED/LKPD,Pardubice,Pardubice Airport
PEE/USPP,Perm,Perm International Airport
PEF/EDCP,Peenemünde,Peenemünde Airport
PEG/LIRZ,Perugia (PG),Perugia San Francesco d'Assisi – Umbria International Airport
PEH/SAZP,Pehuajó,Pehuajó Comodoro Pedro Zanni Airport
PEI/SKPE,Pereira,Pereira Matecaña International Airport
PEK/ZBAA,Beijing,Beijing Capital International Airport
PEL/FXPG,Pelaneng,Pelaneng Airport
PEM/SPTU,Puerto Maldonado,Puerto Maldonado Padre Aldamiz International Airport
PEN/WMKP,Penang,Penang International Airport
PEP,Peppimenarti,Peppimenarti Airport
PEQ/KPEQ,Pecos,Pecos Municipal Airport
PER/YPPH,Perth,Perth International Airport
PES/ULPB,Petrozavodsk,Petrozavodsk Airport
PET/SBPK,Pelotas,Pelotas João Simões Lopes Neto International Airport
PEU/MHPL,Puerto Lempira,Puerto Lempira Airport
PEV/LHPP,Pécs,Pécs-Pogány International Airport
PEW/OPPS,Peshawar,Peshawar Bacha Khan International Airport
PEX/UUYP,Pechora,Pechora Airport
PEY/YPNG,Penong,Penong Airport
PEZ/UWPP,Penza,Penza Airport
PFA,Harbin,Harbin Pingfang Airport
PFB/SBPF,Passo Fundo,Passo Fundo Lauro Kurtz Airport
PFC/KPFC,Pacific City,Pacific City State Airport
PFCR,Crooked Creek,Donlin Creek Airport
PFM,Primrose,Primrose Airport
PFME,Mertarvik,Mertarvik Quarry Road Landing Strip
PFO/LCPH,Paphos,Paphos International Airport
PFQ/OITP,Parsabad,Parsabad-Moghan Airport
PFR/FZVS,Ilebo,Ilebo Airport
PGA/KPGA,Page,Page Municipal Airport
PGB/AYPC,Pangoa,Pangoa Airport
PGC,Petersburg,Petersburg Grant County Airport
PGD/KPGD,Punta Gorda,Punta Gorda Airport
PGE,Yegepa,Yegepa Airport
PGF/LFMP,Perpignan/Rivesalte,Perpignan-Rivesaltes (Llabanère) Airport
PGH/VIPT,Pantnagar,Pantnagar Airport
PGI/FNCH,Chitato,Chitato Airport
PGK/WIKK,Pangkal Pinang,Pangkal Pinang Depati Amir Airport
PGL/KPQL,Pascagoula,Pascagoula Trent Lott International Airport
PGM,Port Graham,Port Graham Airport
PGN/AYPG,Pangia,Pangia Airport
PGO/KPSO,Pagosa Springs,Pagosa Springs Stevens Field
PGQ/WAEM,Pekaulang,Pekaulang Buli Airport
PGR/KPGR,Paragould,Paragould Kirk Field
PGS,Peach Springs,Peach Springs Grand Canyon Caverns Airport
PGU/OIBP,Khiyaroo,Khiyaroo Persian Gulf International Airport
PGV/KPGV,Greenville,Pitt-Greenville Airport
PGX/LFBX,Périgueux/Bassillac,Périgueux-Bassillac Airport
PGZ/SBPG,Ponta Grossa,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo
PHA/VVPR,Phan Rang,Phan Rang Airport
PHB/SBPB,Parnaíba,Parnaíba - Prefeito Doutor João Silva Filho International Airport
PHC/DNPO,Port Harcourt,Port Harcourt International Airport
PHD/KPHD,New Philadelphia,New Philadelphia Harry Clever Field
PHE/YPPD,Port Hedland,Port Hedland International Airport
PHF/KPHF,Newport News,Newport News Williamsburg International Airport
PHG/DNPM,Port Harcourt,Port Harcourt City Airport / Port Harcourt Air Force Base
PHH/VNPR,Pokhara,Pokhara International Airport
PHHF,Tern Island,Tern Island French Frigate Shoals Airport
PHI/SNYE,Pinheiro,Pinheiro Airport
PHIK,Honolulu,Honolulu Hickam Air Force Base
PHK/KPHK,Pahokee,Pahokee Palm Beach County Glades Airport
PHL/KPHL,Philadelphia,Philadelphia International Airport
PHN/KPHN,Port Huron,Port Huron St Clair County International Airport
PHO/PAPO,Point Hope,Point Hope Airport
PHP/KPHP,Philip,Philip Airport
PHQ/YTMO,Phosphate Hill,Phosphate Hill The Monument Airport
PHR/NFND,Nanuku Auberge,Nanuku Airport
PHS/VTPP,Phitsanulok,Phitsanulok Airport
PHT/KPHT,Paris,Paris Henry County Airport
PHW/FAPH,Phalaborwa,Phalaborwa Hendrik Van Eck Airport
PHX/KPHX,Phoenix,Phoenix Sky Harbor International Airport
PHY/VTPB,Phetchabun,Phetchabun Airport
PIA/KPIA,Peoria,General Wayne A. Downing Peoria International Airport
PIB/KPIB,Moselle,Moselle Hattiesburg Laurel Regional Airport
PIC/MBPI,Pine Cay,Pine Cay Airport
PIE/KPIE,Pinellas Park,Pinellas Park St. Petersburg Clearwater International Airport
PIH/KPIH,Pocatello,Pocatello Regional Airport
PIK/EGPK,"Prestwick, South",Glasgow Prestwick Airport
PIL/SGPI,Pilar,Pilar Aeródromo Don Carlos Miguel Gimenez
PIM/KPIM,Pine Mountain,Pine Mountain Harris County Airport
PIN/SWPI,Parintins,Parintins Airport
PIO/SPSO,Pisco,Pisco Captain Renán Elías Olivera International Airport
PIP/PAPN,Pilot Point,Pilot Point Airport
PIQ/SYPL,Pipillipai,Pipillipai Airport
PIR/KPIR,Pierre,Pierre Regional Airport
PIS/LFBI,Poitiers/Biard,Poitiers-Biard Airport
PIT/KPIT,Pittsburgh,Pittsburgh International Airport
PIU/SPUR,Piura,Piura PAF Captain Guillermo Concha Iberico International Airport
PIV/SNPX,Pirapora,Pirapora Airport
PIW/CZMN,Pikwitonei,Pikwitonei Airport
PIX/LPPI,Pico Island,Pico Airport
PIZ/PPIZ,Point Lay,Point Lay LRRS Airport
PJA/ESUP,Pajala,Pajala Airport
PJB/KPAN,Payson,Payson Airport
PJC/SGPJ,Pedro Juan Caballer,Pedro Juan Caballero Aeropuerto Nacional Dr. Augusto Roberto Fuster
PJG/OPPG,Panjgur,Panjgur Airport
PJM/MRPJ,Puerto Jimenez,Puerto Jimenez Airport
PKA/PAPK,Napaskiak,Napaskiak Airport
PKB/KPKB,Parkersburg (Willia,Parkersburg (Williamstown) Mid Ohio Valley Regional Airport
PKC/UHPP,Petropavlovsk-Kamch,Petropavlovsk-Kamchatsky Yelizovo Airport
PKD/KPKD,Park Rapids,Park Rapids Municipal Airport Konshok Field
PKE/YPKS,Parkes,Parkes Airport
PKF/KPKF,Park Falls,Park Falls Municipal Airport
PKG/WMPA,Pangkor Island,Pulau Pangkor Airport
PKJ/MGPG,Playa Grande,Playa Grande Airport
PKK/VYPU,Pakhokku,Pakhokku Airport
PKM/SYPK,Port Kaituma,Port Kaituma Airport
PKN/WAGI,Pangkalanbun,Pangkalanbun Iskandar Airport
PKO/DBBP,Parakou,Parakou Airport
PKP/NTGP,Puka Puka,Puka Puka Airport
PKR/VNPK,Pokhara,Pokhara Domestic Airport
PKRO,Roi-Namur,Roi-Namur Dyess Army Air Field
PKT/YPKT,Wadeye,Wadeye Port Keats Airport
PKU/WIBB,Pekanbaru,Pekanbaru Sultan Syarif Kasim II International Airport / Roesmin Nurjadin AFB
PKV/ULOO,Pskov,Princess Olga Pskov International Airport
PKW/FBSP,Selebi Phikwe,Selebi Phikwe Airport
PKX/ZBAD,Beijing,Beijing Daxing International Airport
PKY/WAGG,Palangkaraya,Palangkaraya Tjilik Riwut Airport
PKZ/VLPS,Pakse,Pakse International Airport
PLA,Planadas,Planadas Airport
PLD/MRCR,Carrillo,Playa Samara/Carrillo Airport
PLE/AYPB,Paiela,Paiela Airport
PLF/FTTP,Pala,Pala Airport
PLJ/MZPL,Placencia,Placencia Airport
PLK/KPLK,Branson / Hollister,Branson / Hollister M. Graham Clark Downtown Airport
PLL/SBMN,Manaus,Ponta Pelada Airport / Manaus Air Base
PLM/WIPP,Palembang,Palembang Sultan Mahmud Badaruddin II Airport
PLN/KPLN,Pellston,Pellston Regional Airport of Emmet County Airport
PLO/YPLC,Port Lincoln,Port Lincoln Airport
PLPA,Palmyra Island,Palmyra (Cooper) Airport
PLQ/EYPA,Palanga,Palanga International Airport
PLR/KPLR,Pell City,Pell City St Clair County Airport
PLS/MBPV,Providenciales,Providenciales International Airport
PLT/SKPL,Plato,Plato Airport
PLU/SBBH,Belo Horizonte,Belo Horizonte Pampulha - Carlos Drummond de Andrade Airport
PLV/UKHP,Poltava,Poltava Suprunovka Airport
PLW/WAFF,Palu,Palu Mutiara - SIS Al-Jufrie Airport
PLX/UASS,Semey,Semey Semei International Airport
PLY,Plymouth,Plymouth Municipal Airport
PLZ/FAPE,Gqeberha (Port,Gqeberha (Port Elizabeth) Chief Dawid Stuurman International Airport
PMA/HTPE,Chake Chake,Chake Chake Pemba Airport
PMB/KPMB,Pembina,Pembina Municipal Airport
PMC/SCTE,Puerto Montt,Puerto Montt El Tepual International Airport
PMD/KPMD,Palmdale,Palmdale Regional Airport / USAF Plant 42 Airport
PMF/LIMP,Parma (PR),Parma Airport
PMG/SBPP,Ponta Porã,Ponta Porã Airport
PMH/KPMH,Portsmouth,Greater Portsmouth Regional Airport
PMI/LEPA,Palma de Mallorca,Palma de Mallorca Airport
PMK/YPAM,Palm Island,Palm Island Airport
PML/PAAL,Cold Bay,Cold Bay Port Moller Airport
PMN/AYPQ,Pumani,Pumani Airport
PMO/LICJ,Palermo,Palermo Falcone–Borsellino Airport
PMP/AYPJ,Pimaga,Pimaga Airport
PMQ/SAWP,Perito Moreno,Perito Moreno Jalil Hamer Airport
PMR/NZPM,Palmerston North,Palmerston North Airport
PMS/OSPR,Tadmur,Tadmur Palmyra Airport
PMT/SYPM,Paramakatoi,Paramakatoi Airport
PMV/SVMG,Isla Margarita,Isla Margarita Del Caribe Santiago Mariño International Airport
PMW/SBPJ,Palmas,Palmas Brigadeiro Lysias Rodrigues Airport
PMY/SAVY,Puerto Madryn,Puerto Madryn El Tehuelche Airport
PMZ/MRPM,Palmar Sur,Palmar Sur Airport
PNA/LEPP,Pamplona,Pamplona Airport
PNB/SBPN,Porto Nacional,Porto Nacional Airport
PNC/KPNC,Ponca City,Ponca City Regional Airport
PND/MZPG,Punta Gorda,Punta Gorda Airport
PNE/KPNE,Philadelphia,Northeast Philadelphia Airport
PNG/SSPG,Paranaguá,Paranaguá Airport
PNH/VDPP,Phnom Penh (Pou,Phnom Penh International Airport
PNI/PTPN,Pohnpei Island,Pohnpei International Airport
PNJ,Yantai,Yantai Penglai Shahekou Airport
PNK/WIOO,Pontianak,Pontianak Supadio International Airport
PNL/LICG,Pantelleria (TP),Pantelleria Airport
PNN/KPNN,Princeton,Princeton Municipal Airport
PNP/AYGR,Popondetta,Popondetta Girua Airport
PNQ/VAPO,Pune,Pune International Airport
PNR/FCPP,Pointe Noire,Pointe Noire Antonio Agostinho-Neto International Airport
PNS/KPNS,Pensacola,Pensacola International Airport
PNT/SCNT,Puerto Natales,Puerto Natales Lieutenant Julio Gallardo Airport
PNU,Panguitch,Panguitch Municipal Airport
PNV/EYPP,Panevėžys,Panevėžys Air Base
PNX/KGYI,Denison,Denison North Texas Regional Airport Perrin Field
PNY/VOPC,Puducherry (Pondich,Pondicherry Airport
PNZ/SBPL,Petrolina,Petrolina Senador Nilo Coelho Airport
POA/SBPA,Porto Alegre,Porto Alegre-Salgado Filho International Airport
POB/KPOB,Fort Bragg,Fort Bragg Pope Field
POC/KPOC,La Verne,La Verne Brackett Field
POD/GOSP,Podor,Podor Airport
POE/KPOE,Fort Polk,Polk Army Air Field
POF/KPOF,Poplar Bluff,Poplar Bluff Municipal Airport
POG/FOOG,Port Gentil,Port Gentil International Airport
POH/KPOH,Pocahontas,Pocahontas Municipal Airport
POI/SLPO,Potosí,Potosí Capitan Nicolas Rojas Airport
POJ/SNPD,Patos de Minas,Patos de Minas Airport
POL/FQPB,Pemba,Pemba Airport
POLI,Oliktok Point,Oliktok Point Long Range Radar Station Airport
POM/AYPY,Port Moresby,Port Moresby Jacksons International Airport
PON/MGPP,Poptún,Poptún Airport
POO/SBPC,Poços De Caldas,Poços de Caldas - Embaixador Walther Moreira Salles Airport
POP/MDPP,Puerto Plata,Puerto Plata Gregorio Luperon International Airport
POR/EFPO,Pori,Pori Airport
POS/TTPP,Port of Spain,Port of Spain Piarco International Airport
POT/MKKJ,Ken Jones,Ken Jones Airport
POU/KPOU,Poughkeepsie,Poughkeepsie Dutchess County Airport
POV/LZPW,Prešov,Prešov Air Base
POW/LJPZ,Sečovlje,Sečovlje Portorož Airport
POX/LFPT,Cormeilles-en-Vexin,Pontoise-Cormeilles Aerodrome
POY/KPOY,Powell,Powell Municipal Airport
POZ/EPPO,Poznań,Poznań-Ławica Airport
PPA/KPPA,Pampa,Pampa Perry Lefors Field
PPB/SBDN,Presidente Prudente,Presidente Prudente Airport
PPC/PAPR,Prospect Creek,Prospect Creek Airport
PPE/MMPE,Puerto Peñasco,Puerto Peñasco Mar de Cortés International Airport
PPF/KPPF,Parsons,Parsons Tri-City Airport
PPG/NSTU,Pago Pago,Pago Pago International Airport
PPH/SVPX,Paraitepuy de,Paraitepuy Airstrip
PPI/YPIR,Port Pirie,Port Pirie Airport
PPJ,Jakarta,Jakarta Pulau Panjang Airport
PPK/UACP,Petropavl,Petropavl International Airport
PPL/VNPL,Phaplu,Phaplu Airport
PPM/KPMP,Pompano Beach,Pompano Beach Airpark
PPN/SKPP,Popayán,Popayán Guillermo León Valencia Airport
PPP/YBPN,Proserpine,Proserpine Whitsunday Coast Airport
PPQ/NZPP,Paraparaumu,Paraparaumu Airport
PPR/WIBG,Pasir Pengarayan,Pasir Pengarayan Tuanku Tambusai Airport
PPS/RPVP,Puerto Princesa,Puerto Princesa International Airport / PAF Antonio Bautista Air Base
PPT/NTAA,Papeete,Papeete Fa'a'ā International Airport
PPU/VYPP,Pa Pun,Pa Pun Hpapun Airport
PPW/EGEP,Papa Westray,Papa Westray Airport
PPX,Nepesi,Nepesi Param Airport
PPY/SNZA,Pouso Alegre,Pouso Alegre Airport
PPZ/SVPP,Puerto Paez,Puerto Paez Airport
PQC/VVPQ,Phu Quoc Island,Phu Quoc Island Phú Quốc International Airport
PQI/KPQI,Presque Isle,Presque Isle International Airport
PQM/MMPQ,Palenque,Palenque International Airport
PQQ/YPMQ,Port Macquarie,Port Macquarie Airport
PQS,Pilot Station,Pilot Station Airport
PRA/SAAP,Parana,Parana General Urquiza Airport
PRB/KPRB,Paso Robles,Paso Robles Municipal Airport
PRC/KPRC,Prescott,Prescott Regional Airport - Ernest A. Love Field
PRD/YPDO,Pardoo,Pardoo Airport
PRE,Pore,Pore Airport
PRG/LKPR,Prague,Václav Havel Airport Prague
PRH/VTCP,Phrae,Phrae Airport
PRI/FSPP,Praslin Island,Praslin Island Airport
PRK/FAPK,Prieska,Prieska Airport
PRM/LPPM,Portimão,Portimão Airport
PRN/BKPR,Prishtina,Prishtina Priština Adem Jashari International Airport
PRO/KPRO,Perry,Perry Municipal Airport
PRP/LFKO,Propriano,Propriano Airport
PRQ/SARS,Presidencia Roque,Presidencia Roque Sáenz Peña Termal Airport
PRR/SYPR,Paruima,Paruima Airport
PRS/AGGP,Parasi,Parasi Airport
PRU/VYPY,Pye,Pye Pyay Airport
PRV/LKPO,Přerov,Přerov Air Base
PRW,Prentice,Prentice Airport
PRX/KPRX,Paris,Paris Cox Field
PRY/FAWB,Pretoria,Pretoria Wonderboom Airport
PRZ,Prineville,Prineville Airport
PSA/LIRP,Pisa (PI),Pisa International Airport
PSB/KPSB,Philipsburg,Philipsburg Mid-State Regional Airport
PSC/KPSC,Pasco,Pasco Tri Cities Airport
PSD/HEPS,Port Said,Port Said International Airport
PSE/TJPS,Ponce,Ponce Mercedita International Airport
PSF/KPSF,Pittsfield,Pittsfield Municipal Airport
PSG/PAPG,Petersburg,Petersburg James A Johnson Airport
PSH/EDXO,Sankt Peter-Ording,Sankt Peter-Ording Airport
PSI/OPPI,Pasni,Pasni Airport
PSJ/WAFP,Poso-Celebes Island,Poso-Celebes Island Kasiguncu Airport
PSK/KPSK,Dublin,Dublin New River Valley Airport
PSL/EGPT,"Perth, Perth and",Perth/Scone Airport
PSM/KPSM,Portsmouth,Portsmouth International Airport at Pease
PSN/KPSN,Palestine,Palestine Municipal Airport
PSO/SKPS,Chachagüí,Chachagüí Antonio Nariño Airport
PSP/KPSP,Palm Springs,Palm Springs International Airport
PSR/LIBP,Pescara,Pescara Abruzzo Airport
PSS/SARP,Posadas,Posadas Libertador Gral D Jose De San Martin Airport
PSU/WIOP,Putussibau-Borneo,Putussibau-Borneo Island Pangsuma Airport
PSW/SNOS,Passos,Passos José Figueiredo Municipal Airport
PSX/KPSX,Palacios,Palacios Municipal Airport
PSY/SFAL,Stanley,Port Stanley Airport
PSZ/SLPS,Puerto Suárez,Puerto Suárez Capitán Av. Salvador Ogaya G. airport
PTA/PALJ,Port Alsworth,Port Alsworth Airport
PTB/KPTB,Petersburg,Petersburg Dinwiddie County Airport
PTF/NFFO,Malolo Lailai,Malolo Lailai Island Airport
PTG/FAPP,Polokwane,Polokwane International Airport
PTH/PAPH,Port Heiden,Port Heiden Airport
PTJ/YPOD,Portland,Portland Airport
PTK/KPTK,Pontiac,Pontiac Oakland County International Airport
PTL,Máncora,Máncora Walter Braedt Segú Airport
PTM/SVPT,Palmarito,Palmarito Airport
PTN/KPTN,Patterson,Patterson Harry P Williams Memorial Airport
PTO/SBPO,Pato Branco,Pato Branco Juvenal Loureiro Cardoso Airport
PTP/TFFR,Pointe-à-Pitre,Pointe-à-Pitre Maryse Condé International Airport
PTQ/SNMZ,Porto de Moz,Porto de Moz Airport
PTS/KPTS,Pittsburg,Pittsburg Atkinson Municipal Airport
PTT/KPTT,Pratt,Pratt Regional Airport
PTU/PAPM,Platinum,Platinum Airport
PTV/KPTV,Porterville,Porterville Municipal Airport
PTW/KPTW,Pottstown,Pottstown Heritage Field
PTX/SKPI,Pitalito,Pitalito Airport
PTY/MPTO,Tocumen,Tocumen International Airport
PTZ/SESM,Shell Mera,Shell Mera Rio Amazonas Airport
PUA,Puas Mission,Puas Airport
PUB/KPUB,Pueblo,Pueblo Memorial Airport
PUC/KPUC,Price,Price Carbon County Regional Airport / Buck Davis Field
PUD/SAWD,Puerto Deseado,Puerto Deseado Airport
PUE/MPOA,Puerto Obaldía,Puerto Obaldía Airport
PUF/LFBP,Pau/Pyrénées,Pau Pyrénées Airport
PUG/YPAG,Port Augusta,Port Augusta Airport
PUJ/MDPC,Punta Cana,Punta Cana International Airport
PUK/NTGQ,Pukaruha,Pukaruha Airport
PUN/FZOP,Punia,Punia Airport
PUP/DFCP,Po,Po Airport
PUQ/SCCI,Punta Arenas,Punta Arenas President Carlos Ibáñez International Airport
PUR/SLPR,Puerto Rico/Manurip,Puerto Rico Airport
PUS/RKPK,Busan,Busan Gimhae International Airport
PUT/VOPN,Puttaparthi,Puttaparthi Sri Sathya Sai Airport
PUU/SKAS,Puerto Asís,Puerto Asís Tres De Mayo Airport
PUV/NWWP,Malabou,Poum / Malabou Airport
PUW/KPUW,Pullman,Pullman-Moscow Regional Airport
PUX/SCPV,Puerto Varas,Puerto Varas El Mirador Airport
PUY/LDPL,Pula,Pula Airport
PUZ/MNPC,Puerto Cabezas,Puerto Cabezas Airport
PVA/SKPV,Providencia,Providencia El Embrujo Airport
PVC/KPVC,Provincetown,Provincetown Municipal Airport
PVD/KPVD,Providence/Warwick,Providence/Warwick Rhode Island T. F. Green International Airport
PVF/KPVF,Placerville,Placerville Airport
PVG/ZSPD,Shanghai (Pudong),Shanghai Pudong International Airport
PVH/SBPV,Porto Velho,Porto Velho Governador Jorge Teixeira de Oliveira International Airport
PVI/SSPI,Paranavaí,Paranavaí Airport
PVK/LGPZ,Preveza,Preveza Aktion National Airport
PVL/KPBX,Pikeville,Pikeville Pike County Airport Hatcher Field
PVO/SEPV,Portoviejo,Portoviejo Reales Tamarindos Airport
PVR/MMPR,Puerto Vallarta,Puerto Vallarta International Airport
PVS/UHMD,Chukotka,Chukotka Provideniya Bay Airport
PVU/KPVU,Provo,Provo Municipal Airport
PVW/KPVW,Plainview,Plainview Hale County Airport
PWA/KPWA,Oklahoma City,Oklahoma City Wiley Post Airport
PWD/KPWD,Plentywood,Plentywood Sher-Wood Airport
PWE/UHMP,Apapelgino,Apapelgino Pevek Airport
PWI/HAPW,Pawe,Pawe Beles Airport
PWK/KPWK,Chicago/Prospect,Chicago Executive Airport
PWL/WAHP,Purwokerto-Java,Purwokerto-Java Island Jenderal Besar Soedirman Airport
PWM/KPWM,Portland,Portland International Jetport
PWN/MYCP,Pitts Town,Pitts Town Airport
PWO/FZQC,Pweto,Pweto Airport
PWQ/UASP,Pavlodar,Pavlodar International Airport
PWT/KPWT,Bremerton,Bremerton National Airport
PWY/KPNA,Pinedale,Pinedale Ralph Wenz Field
PXA/WIPY,Bentayan,Bentayan Atung Bungsu Airport
PXH/YPMH,Mount Eba,Mount Eba Prominent Hill Airport
PXL,Polacca,Polacca Airport
PXM/MMPS,Puerto Escondido,Puerto Escondido International Airport
PXO/LPPS,Vila Baleira,Vila Baleira Porto Santo Airport
PXR/VTUJ,Surin,Surin Airport
PXU/VVPK,Pleiku,Pleiku Airport
PYA/SKVL,Puerto Boyacá,Puerto Boyacá Velásquez Airport
PYB/VEJP,Jeypore,Jeypore Airport
PYC,Ukupseni,Ukupseni Playón Chico Airport
PYE/NCPY,Penrhyn Island,Penrhyn Island Tongareva Airport
PYG/VEPY,Pakyong,Pakyong Airport
PYH/SVPA,Puerto Ayacucho,Puerto Ayacucho Cacique Aramare Airport
PYJ/UERP,Yakutia,Yakutia Polyarny Airport
PYK/OIIP,Karaj,Karaj Payam International Airport
PYM/KPYM,Plymouth,Plymouth Municipal Airport
PYN,Payán,Payán Airport
PYO/SEPT,Puerto Putumayo,Putumayo Airport
PYR/LGAD,Andravida,Andravida Air Base
PYS,Paradise,Paradise Skypark Airport
PYT/SNZR,Paracatu,Paracatu Pedro Rabelo de Souza Airport
PYV,Yaviza,Yaviza Airport
PYY/VTCI,Pai,Pai Airport
PZA/SKPZ,Paz de Ariporo,Paz de Ariporo Airport
PZB/FAPM,Pietermaritzburg,Pietermaritzburg Airport
PZH/OPZB,Fort Sandeman,Fort Sandeman Zhob Airport
PZI/ZUZH,Panzhihua (Renhe),Panzhihua Bao'anying Airport
PZK/NCPK,Pukapuka Atoll,Pukapuka Island Airport
PZL/FADQ,Phinda,Phinda Zulu Inyala Airport
PZO/SVPR,Guyana City,Guyana City General Manuel Carlos Piar International Airport
PZR,Bajo Baudó,Bajo Baudó Pizarro Airport
PZS/SCTC,Temuco,Temuco Maquehue Airport
PZU/HSPN,Port Sudan,Port Sudan New International Airport
PZY/LZPP,Piešťany,Piešťany Airport
QBC/CYBD,Bella Coola,Bella Coola Airport
QCH/SNCX,Colatina,Colatina Airport
QCP/SNKN,Currais Novos,Currais Novos Airport
QCY/EGXC,"Lincoln, Lincolnshi","Lincoln, Lincolnshire RAF Coningsby"
QDB/SSKS,Cachoeira Do Sul,Cachoeira do Sul Airport
QDV/SBJD,Jundiaí,Comte. Rolim Adolfo Amaro–Jundiaí State Airport
QGF/SSNG,Montenegro,Montenegro Airport
QGP/SNGN,Garanhuns,Garanhuns Airport
QGU/RJNG,Gifu,Gifu Airport
QHR/HAHM,Debre Zeyit,Debre Zeyit Harar Meda Airport
QHU/EDXJ,Husum,Husum-Schwesing Airport
QHV/SSNH,Novo Hamburgo,Novo Hamburgo Airport
QIG/SNIG,Iguatu,Iguatu Airport
QIT/SNIP,Itapetinga,Itapetinga Airport
QJP,Pocheon,Pocheon (G-217) Airport
QMJ/OIAI,Masjed Soleyman,Masjed Soleyman Shahid Asiyaee Airport
QOW/DNIM,Owerri,Owerri Sam Mbakwe International Cargo Airport
QPG/WSAP,Paya Lebar,Paya Lebar Air Base
QRA/FAGM,Johannesburg,Johannesburg Rand Airport
QRF,Bragado,Bragado Airport
QRM/YNRM,Narromine,Narromine Airport
QRO/MMQT,Querétaro,Querétaro Intercontinental Airport
QRW/DNSU,Okpe,Okpe Warri Airport
QSC/SDSC,São Carlos,Mário Pereira Lopes–São Carlos International Airport
